#Edge cases were chosen for all opcodes + 5 randomly generated test pairs for each opcode. 
#Edge cases are 0x00000000, 0xffffffff, 0x00000001, 0x80000000 for inputs A and B. 
#Edge cases are 00000,11111 for input Sa.
#Randomly generated test pairs for add and subtract operations were selectively chosen for V output 1 and 0. Chose two pairs negatives, two pairs positive, and one pair of positive and negative for a total of five test pairs. 

A[32] 		B[32] 		Op[4] 		Sa[5] 		C[32] 		V[1]

#shift left logical, opcode =0000, Sa=0

0x00000000	0x00000000 	0000		00000	0x00000000		0
0x00000000 	0xffffffff	0000		00000	0xffffffff		0
0xffffffff 	0x00000000	0000		00000	0x00000000		0
0xffffffff	0xffffffff 	0000		00000	0xffffffff		0
0x00000001 	0x00000000	0000		00000	0x00000000		0
0x00000000	0x00000001	0000		00000	0x00000001		0
0xffffffff	0x00000001	0000		00000	0x00000001		0
0x00000001	0xffffffff	0000		00000	0xffffffff		0
0x80000000	0x00000000 	0000		00000	0x00000000		0
0x00000000	0x80000000	0000		00000	0x80000000		0
0x80000000	0xffffffff	0000		00000	0xffffffff		0
0xffffffff	0x80000000	0000		00000	0x80000000		0
0x80000000	0x00000001	0000		00000	0x00000001		0
0x00000001	0x80000000	0000		00000	0x80000000		0
0x00000001	0x00000001	0000		00000	0x00000001		0
0x80000000	0x80000000	0000		00000	0x80000000		0
2108462616 	-767772500	0000		00000	-767772500		0
1223525086	1125822199	0000		00000	1125822199		0
-215611994	1592140653	0000		00000	1592140653		0
216423074	873031531	0000		00000	873031531		0
-1999740650	2044392072	0000		00000	2044392072		0

#shift left logical, opcode =0000, Sa=31

0x00000000	0x00000000 	0000		11111	0x00000000		0
0x00000000 	0xffffffff	0000		11111	-2147483648		0
0xffffffff 	0x00000000	0000		11111	0x00000000		0
0xffffffff	0xffffffff 	0000		11111	-2147483648		0	
0x00000001 	0x00000000	0000		11111	0x00000000		0
0x00000000	0x00000001	0000		11111	-2147483648		0
0xffffffff	0x00000001	0000		11111	-2147483648		0
0x00000001	0xffffffff	0000		11111	-2147483648		0
0x80000000	0x00000000 	0000		11111	0x00000000		0
0x00000000	0x80000000	0000		11111	0			0
0x80000000	0xffffffff	0000		11111	-2147483648		0
0xffffffff	0x80000000	0000		11111	0			0
0x80000000	0x00000001	0000		11111	-2147483648		0
0x00000001	0x80000000	0000		11111	0			0
0x00000001	0x00000001	0000		11111 	-2147483648		0
0x80000000	0x80000000	0000		11111	0			0
446296517	-908593213	0000		11111	-2147483648		0
-2095262920	-227033010	0000		11111	0			0
-1703808584	454425339	0000		11111	-2147483648		0
-1913237027	1491170340	0000		11111	0			0
-1359385242	736388540	0000		11111	0			0

#shift left logical, opcode =0001, Sa=0

0x00000000	0x00000000 	0001		00000	0x00000000		0
0x00000000 	0xffffffff	0001		00000	0xffffffff		0
0xffffffff 	0x00000000	0001		00000	0x00000000		0
0xffffffff	0xffffffff 	0001		00000	0xffffffff		0
0x00000001 	0x00000000	0001		00000	0x00000000		0
0x00000000	0x00000001	0001		00000	0x00000001		0
0xffffffff	0x00000001	0001		00000	0x00000001		0
0x00000001	0xffffffff	0001		00000	0xffffffff		0
0x80000000	0x00000000 	0001		00000	0x00000000		0
