#Edge cases are the variations of addition of the most positive integer, most negative integer, 0, -1, 1, and varying the value of Cin. I chose five random tests where I get overflow or no overflow when adding same sign integers, and one pair of different signed integers (that should have no overflow). 

A[32]      	B[32]       	Cin[1]      C[32]     V[1]

2147483647 	2147483647  	0       -2         1
2147483647 	2147483647  	1       -1         1
0 0 1 1 0
0 0 0 0 0 
-1 1 0 0 0 
-1 -1 0 -2 0
-1 -1 1 -1 0
-1 2147483647 0 2147483646 0 
-1 2147483647 1 2147483647 0 
-2147483648 -2147483648 0 0 1
-2147483648 -2147483648 1 1 1
-1 -2147483648 0 2147483647 1
-1 -2147483648 1 -2147483648 0
-2147483648 2147483647 0 -1 0
-2147483648 2147483647 1 0 0
-2147483648 1  0 -2147483647 0 
-2147483648 1  1 -2147483646 0 
2147483647 0 1 -2147483648 1
2147483647 1 1 -2147483647 1
-714384720  -812720134 0 -1527104854 0
916630560 1907866404 0 -1470470332 1
195132360 208950947 0 404083307 0 
-383927104 132055430 0 -251871674 0 
-1892102772 -964756036 0 1438108488 1







 
 
