#Edge cases are variations of most positive integer, most negative integers,-1, and 1 shifted by the most bits possible (31 bits). Cin was varied for each test pair. I chose 5 random test pairs, five for each value of Cin (-1 and 1).  

B[32] Sa[5]   Cin[1]   C[32]
 
-1  31   0     -2147483648 
-1  31   1  -1 
-1 0  0 -1 
0 31 1 2147483647 
-2147483648 31 0 0 
-2147483648 31 1 2147483647 
2147483647 31 0 -2147483648
2147483647 31 1 -1
1 31 0 -2147483648
1 31 1 -1
198931350 3 0 1591450800
1149066976 23 0 1879048192
1770526055 26 0 -1677721600
-1948060828 28 0 1073741824
-464355981 1 0 -928711962
00000000000000000000000000000001   00100   1     00000000000000000000000000011111 
11010101100111100100101011011001   00111   1     11001111001001010110110011111111
10110101011111101000010100010010   01100   1     11101000010100010010111111111111
10011000110001001111001001001000   25      1     10010001111111111111111111111111
00111010000011000110100011100111   30      1     11111111111111111111111111111111

 




 
 
